id_venta,fecha,cliente,producto,precio,cantidad
1,2023.09.26, hicham ,Mouse,-10,
2,2023.12.27,MARTA,Teclado,ERROR,
3,2023-05-05,luis,Cables,1200,5.0
4,,PeDro ,Teclado,ERROR,5.0
5,2023.08.15, sofia,Mouse,1200,2.0
6,,MARTA,Mouse,0,
7,2023.12.03,JUAN,Cables,ERROR,
8,16/08/2023,luis,Teclado,0,5.0
9,2023.03.27,PeDro ,Monitor,-10,2.0
10,2023-06-05,PeDro ,Monitor,350,2.0
11,, sofia,Cables,ERROR,2.0
12,2023-08-08, sofia,Mouse,-10,
13,2023-08-08,CARLA,Cables,-10,
14,2023.03.11, hicham ,Cables,350,
15,,luis,Teclado,-10,
16,04/02/2023,JUAN,Cables,-10,10.0
17,2023.05.10,luis,Mouse,ERROR,5.0
18,2023-03-11,luis,Laptop,1200,1.0
19,21/05/2023,luis,Monitor,-10,10.0
20,2023-06-07,CARLA,Cables,350,2.0
21,2023.01.21,CARLA,Laptop,ERROR,1.0
22,2023.01.09,PeDro ,Teclado,ERROR,10.0
23,,luis,Cables,0,
24,2023.11.09, ana,Monitor,350,2.0
25,, hicham ,Mouse,15,10.0
26,26/02/2023,JUAN,Monitor,350,
27,, ana,Cables,-10,
28,12/05/2023, sofia,Teclado,350,1.0
29,2023-03-22, ana,Cables,350,
30,2023-07-17, hicham ,Cables,15,5.0
31,,JUAN,Cables,ERROR,
32,28/07/2023,luis,Laptop,15,5.0
33,,JUAN,Teclado,0,5.0
34,2023-09-10,MARTA,Teclado,-10,2.0
35,2023-07-04,JUAN,Monitor,1200,1.0
36,,PeDro ,Cables,0,10.0
37,2023.07.25,MARTA,Mouse,1200,5.0
38,15/03/2023,CARLA,Cables,350,2.0
39,2023.06.03, sofia,Mouse,0,
40,2023.07.30, hicham ,Monitor,1200,1.0
41,,JUAN,Monitor,-10,
42,,CARLA,Teclado,15,10.0
43,2023.08.03, ana,Laptop,ERROR,
44,2023-12-26,JUAN,Monitor,0,10.0
45,2023-09-28, sofia,Mouse,350,
46,16/10/2023,MARTA,Laptop,1200,10.0
47,08/02/2023,JUAN,Laptop,1200,5.0
